#Total Fragments: 1000
#Fragments Considered: 667
#Valid Constructs: 619
#Guides Passing: 1278
#Guides Failing: 56
#Constructs Recognized: 344
#Constructs Unrecognized: 275
construct_id	target_a_id	probe_a_id	target_b_id	probe_b_id	A549-CV4-1000_d28_1
ABL1_chr9_133589790__ADA_chr20_43257696	ABL1	ABL1_chr9_133589790	ADA	ADA_chr20_43257696	0
ABL1_chr9_133589790__ADA_chr20_43257769	ABL1	ABL1_chr9_133589790	ADA	ADA_chr20_43257769	0
ABL1_chr9_133589790__ALK_chr2_29541172	ABL1	ABL1_chr9_133589790	ALK	ALK_chr2_29541172	0
ABL1_chr9_133589790__ALK_chr2_30143522	ABL1	ABL1_chr9_133589790	ALK	ALK_chr2_30143522	0
ABL1_chr9_133589790__ARID1A_chr1_27056288	ABL1	ABL1_chr9_133589790	ARID1A	ARID1A_chr1_27056288	0
ABL1_chr9_133589790__ARID2_chr12_46205318	ABL1	ABL1_chr9_133589790	ARID2	ARID2_chr12_46205318	0
ABL1_chr9_133589790__ARID2_chr12_46254608	ABL1	ABL1_chr9_133589790	ARID2	ARID2_chr12_46254608	0
ABL1_chr9_133589790__ATM_chr11_108098350	ABL1	ABL1_chr9_133589790	ATM	ATM_chr11_108098350	0
ABL1_chr9_133589790__ATM_chr11_108098390	ABL1	ABL1_chr9_133589790	ATM	ATM_chr11_108098390	0
ABL1_chr9_133589790__BCL2_chr18_60795945	ABL1	ABL1_chr9_133589790	BCL2	BCL2_chr18_60795945	0
ABL1_chr9_133589790__BCL2_chr18_60985877	ABL1	ABL1_chr9_133589790	BCL2	BCL2_chr18_60985877	0
ABL1_chr9_133589790__BRAF_chr7_140534469	ABL1	ABL1_chr9_133589790	BRAF	BRAF_chr7_140534469	0
ABL1_chr9_133589790__BRCA1_chr17_41256141	ABL1	ABL1_chr9_133589790	BRCA1	BRCA1_chr17_41256141	0
ABL1_chr9_133589790__BRCA1_chr17_41267735	ABL1	ABL1_chr9_133589790	BRCA1	BRCA1_chr17_41267735	0
ABL1_chr9_133589790__BRCA2_chr13_32912006	ABL1	ABL1_chr9_133589790	BRCA2	BRCA2_chr13_32912006	0
ABL1_chr9_133589790__BRD4_chr19_15376361	ABL1	ABL1_chr9_133589790	BRD4	BRD4_chr19_15376361	0
ABL1_chr9_133589790__BTK_chrX_100626613	ABL1	ABL1_chr9_133589790	BTK	BTK_chrX_100626613	0
ABL1_chr9_133589790__BTK_chrX_100645534	ABL1	ABL1_chr9_133589790	BTK	BTK_chrX_100645534	0
ABL1_chr9_133589790__CASP8_chr2_202123033	ABL1	ABL1_chr9_133589790	CASP8	CASP8_chr2_202123033	0
ABL1_chr9_133589790__CASP8_chr2_202131404	ABL1	ABL1_chr9_133589790	CASP8	CASP8_chr2_202131404	0
ABL1_chr9_133589790__CASP8_chr2_202134297	ABL1	ABL1_chr9_133589790	CASP8	CASP8_chr2_202134297	0
ABL1_chr9_133589790__CDH1_chr16_68772250	ABL1	ABL1_chr9_133589790	CDH1	CDH1_chr16_68772250	0
ABL1_chr9_133589790__CDK4_chr12_58143253	ABL1	ABL1_chr9_133589790	CDK4	CDK4_chr12_58143253	0
ABL1_chr9_133589790__CDK4_chr12_58145497	ABL1	ABL1_chr9_133589790	CDK4	CDK4_chr12_58145497	0
ABL1_chr9_133589790__CDK6_chr7_92252365	ABL1	ABL1_chr9_133589790	CDK6	CDK6_chr7_92252365	0
ABL1_chr9_133589790__CDK9_chr9_130548998	ABL1	ABL1_chr9_133589790	CDK9	CDK9_chr9_130548998	0
ABL1_chr9_133589790__CDK9_chr9_130550235	ABL1	ABL1_chr9_133589790	CDK9	CDK9_chr9_130550235	0
ABL1_chr9_133589790__CDKN1B_chr12_12870931	ABL1	ABL1_chr9_133589790	CDKN1B	CDKN1B_chr12_12870931	0
ABL1_chr9_133589790__CDKN2A_chr9_21968726	ABL1	ABL1_chr9_133589790	CDKN2A	CDKN2A_chr9_21968726	0
ABL1_chr9_133589790__CHEK1_chr11_125496644	ABL1	ABL1_chr9_133589790	CHEK1	CHEK1_chr11_125496644	0
ABL1_chr9_133589790__CHEK1_chr11_125499147	ABL1	ABL1_chr9_133589790	CHEK1	CHEK1_chr11_125499147	0
ABL1_chr9_133589790__CHEK2_chr22_29090029	ABL1	ABL1_chr9_133589790	CHEK2	CHEK2_chr22_29090029	0
ABL1_chr9_133589790__CHEK2_chr22_29130694	ABL1	ABL1_chr9_133589790	CHEK2	CHEK2_chr22_29130694	0
ABL1_chr9_133589790__EGFR_chr7_55209986	ABL1	ABL1_chr9_133589790	EGFR	EGFR_chr7_55209986	0
ABL1_chr9_133589790__EGFR_chr7_55209992	ABL1	ABL1_chr9_133589790	EGFR	EGFR_chr7_55209992	0
ABL1_chr9_133589790__ERBB2_chr17_37855800	ABL1	ABL1_chr9_133589790	ERBB2	ERBB2_chr17_37855800	0
ABL1_chr9_133589790__ERBB2_chr17_37868292	ABL1	ABL1_chr9_133589790	ERBB2	ERBB2_chr17_37868292	0
ABL1_chr9_133589790__FGFR2_chr10_123298118	ABL1	ABL1_chr9_133589790	FGFR2	FGFR2_chr10_123298118	0
ABL1_chr9_133589790__FGFR3_chr4_1795655	ABL1	ABL1_chr9_133589790	FGFR3	FGFR3_chr4_1795655	0
ABL1_chr9_133589790__FLT3_chr13_28636131	ABL1	ABL1_chr9_133589790	FLT3	FLT3_chr13_28636131	0
ABL1_chr9_133589790__FLT3_chr13_28636172	ABL1	ABL1_chr9_133589790	FLT3	FLT3_chr13_28636172	0
ABL1_chr9_133589790__FLT3_chr13_28674643	ABL1	ABL1_chr9_133589790	FLT3	FLT3_chr13_28674643	0
ABL1_chr9_133589790__FNTA_chr8_42911471	ABL1	ABL1_chr9_133589790	FNTA	FNTA_chr8_42911471	0
ABL1_chr9_133589790__GATA3_chr10_8097722	ABL1	ABL1_chr9_133589790	GATA3	GATA3_chr10_8097722	0
ABL1_chr9_133589790__GATA3_chr10_8097790	ABL1	ABL1_chr9_133589790	GATA3	GATA3_chr10_8097790	0
ABL1_chr9_133589790__HDAC2_chr6_114266539	ABL1	ABL1_chr9_133589790	HDAC2	HDAC2_chr6_114266539	0
ABL1_chr9_133589790__HDAC6_chrX_48661089	ABL1	ABL1_chr9_133589790	HDAC6	HDAC6_chrX_48661089	0
ABL1_chr9_133589790__HDAC6_chrX_48661385	ABL1	ABL1_chr9_133589790	HDAC6	HDAC6_chrX_48661385	0
ABL1_chr9_133589790__HSP90AA1_chr14_102551760	ABL1	ABL1_chr9_133589790	HSP90AA1	HSP90AA1_chr14_102551760	0
